timestamp,contentId,link,title,text,tags
1598132503.386146,1,"""https://www.its.porn/video/sexy-blond-teen-gives-head-to-a-senior-outdoors/""","""Sexy blond teen gives head to a senior outdoors""",,"""outdoor, short hair, missionary, swallow, cum in mouth, hd porn, hd videos, old and young, couple, hardcore, 69, blowjob, cunnilingus, pussy licking, small tits, natural tits, blonde, kissing, older man, older man fucks girl, old cock, old dick, small boobs, outdoor fucking, blowjob, hardcore, teen, blonde, cock, oral, old, mature, suck, young, beautiful, outdoors, teenager, adorable, old and young, mature cock, blonde girls fucking, hd porn, mature sex, teen girls 18+"""
1598132503.628287,2,"""https://www.its.porn/video/busty-milf-stepmom-and-her-stepdaughter-fucks-with-a-guy/""","""Busty MILF stepmom and her stepdaughter fucks with a guy""",,"""big tits, milf, pornstar, teen, hd porn, stepmom, threesome, blonde, brunette, big boobs, busty, mother, mom, teenager, teen, threesome, threeway, blonde, brunette"""
1598132503.875268,3,"""https://www.its.porn/video/fucking-an-aspiring-redhead/""","""Fucking an aspiring redhead""",,"""redhead, facial, cowgirl, doggy style, blowjob, teen, small tits, reverse cowgirl, nice ass, big cock, sexy, babe, beautiful, cumshot, hd porn, cum on face, cock riding, cock sucking, horny slut, bouncing on dick, fucked from behind, big dick, pretty girl, tiny tits, gorgeous teen, lacy lennon"""
1598132504.109504,4,"""https://www.its.porn/video/lovemaking-the-lesbian-way-with-candy-sweet-and-kittina-cox-on-sapphic-erotica/""","""Lovemaking the lesbian way with Candy Sweet and Kittina Cox on Sapphic Erotica""",,"""facesitting, lesbian, hd porn, pussy licking, 69, fingering, redhead, brunette, kissing, nice ass, rubbing, sexy, babe, erotic, small tits, tiny, beautiful, cunnilingus, sensual girl, erotic lesbians, 69 position, perfect ass, sweet babe, lezzies, small breast, lesbian pussy eating, hd porn 1080p, lesbians kissing, sexy body, lesbian pussy fingered, pretty girl, horny babe"""
1598132504.365085,5,"""https://www.its.porn/video/horny-mary-rock-finishes-her-morning-workout-then-gets-naked-and-rides-her-lovers-fuck-stick-in-her-tight-bare-pussy/""","""Horny Mary Rock finishes her morning workout then gets naked and rides her lovers fuck stick in her tight bare pussy""",,"""tiny, long hair, pornstar, short girls, small tits, shaved pussy, missionary, couple, teen, cowgirl, kissing, handjob, cumshot, underwear, fitness, fit body, amazing body, teen babe, cute teen blowjob, suck dick, oral sex, floor, on the floor, small boobs, young small tits, fuck pussy, pussy insertion, pussy, cute teen, young girl, couple sex, couple, shaved pussy fuck, mary rock, renato"""
1598132504.602571,6,"""https://www.its.porn/video/dessert-before-dinner/""","""Dessert Before Dinner""",,"""footjob, girl masturbating, handjob, bend over, cowgirl, big ass, mom, milf, hd porn, big tits, wife, brunette, deepthroat, blowjob, pornstar, big cock, hardcore, babe, sexy, beautiful, hd videos, foot fetish, tugjob, fucked from behind, table, foot fuck, big booty, juicy ass, busty babe, hot wife, big boobs milf, intense fucking, cock riding, cock sucking, bouncing on dick, big dick, hot sex, hard fast fuck, seduces, veronica avluv"""
1598132505.275219,7,"""https://www.its.porn/video/canadian-cream-pie-filling-w-capri-cavalli/""","""Canadian Cream Pie Filling w/Capri Cavalli""",,"""hardcore, handjob, fake tits, blowjob, brunette, pornstar, swallow, big ass, big tits, busty, close-up, ass, pussy, shaved pussy, cowgirl, tattoo, doggy style, kissing, booty, big ass, big butt, big booty, close up, big boobs, big tits, big breasts, big fake tits, fake tits, big dick, hot sex, hard sex, oral sex, pussy fucking, cock riding, missionary, from behind, shaved cunt, anal sex, dogging, fucked from behind, tattoo girl, brunette, hot kiss, capri cavalli, mike adriano"""
1598132506.120235,8,"""https://www.its.porn/video/milana-laurence-can-t-wait-to-peel-off-her-thong-and-bra-and-slam-a-glass-dildo-deep-in-her-bald-cooch/""","""Milana Laurence can't wait to peel off her thong and bra and slam a glass dildo deep in her bald cooch.""",,"""blonde, pornstar, fingering, teen, close-up, amateur, solo female, small tits, petite, skinny, shaved pussy, girl masturbating, sexy, babe, nice ass, booty, ass, pussy, beautiful, sex toys, small boobs, shaved pussy, short hair, bras, masturbation, toys, thongs, big areolas, solo, european, short girls, fair skin, orgasm, blonde, finger pussy, close up, amateur, solo girl teasing, teases, solo masturbation, shaved cunt, teen babe, sexy babe, hot ass, slim, skinny, spread legs, small tits, tiny tits, sofa, sex toys, glass toy, milana laurence"""
1598132506.376107,9,"""https://www.its.porn/video/homemade-german-milf-femdom/""","""Homemade German Milf Femdom""",,"""brunette, milf, hardcore, strapon, femdom, spanking, masturbation, facesitting, high heels, shaved pussy, bdsm, bondage, anal, fingering, doggy style, hardcore, brunette, anal, milf, strap-on, bizarre, fetish, amateur, masturbation, mature, handjob, voyeur, spanking, european, shaved pussy, orgasm, femdom, leather, finger fucking, sex toys, bondage, homemade, big dick, bdsm, high heels, big ass, big tits, blowjob, natural tits, rough-sex, pussy licking, facesitting, boots, long hair, man fucks with strapon, larissa gold"""
1598132506.632234,10,"""https://www.its.porn/video/amateur-gays-in-forest/""","""Amateur gays in forest""",,"""gay, amateur gay, forest, gays in forest, gay, gay amateur, gay blowjob, gay cock, gay doggy, gay fuck, gay fucking, gay handjob, gay kissing, gay masturbate, gay porn, gay sex, gaysex"""
